Fluorescence,Input Resistance (megaohm),Cell Capacitance (pF),Membrane Time Constant (ms),Rheobase (nA),fI slope (Hz/nA),Spike Threshold (mV),Spike Amplitude (mV),Spike Halfwidth (ms),Sag Amplitude (mV)
NF,120.4653098,64.43593104,7.762294395,0.300148148,1125,-34.01968889,53.47982857,0.436893204,2.212377899
NF,231.2692439,77.66160996,17.96074182,0.04,8.928571415,-26.51638307,95.35046959,0.877777778,0.531745679
NF,123.1675303,167.8265167,20.67077757,0.090909091,110,-33.26415709,99.94505911,0.924242424,2.579814256
PV+,228.1410426,31.48815084,7.183739562,0.099039301,1144.999998,-38.98549918,70.53081272,0.412769231,1.616815532
PV+,182.0819566,48.16338587,8.769683534,0.101232951,872.857142,-35.19693639,66.86606459,0.386329588,1.988266454
NF,137.9245162,171.7625856,23.69027152,0.15,120,-27.16064308,92.95653557,0.794,3.108169101
PV+,104.6832762,71.18963698,7.452364433,0.19035461,705.0000014,-39.10200667,63.60734886,0.367857143,1.215462733
PV+,102.4779822,68.906533,7.061402461,0.279490446,784.9999985,-30.74244198,60.39910122,0.416842105,2.627902561
NF,183.4846152,169.5033007,31.10124791,0.023333333,137.1428571,-32.92536011,99.57005449,0.844915254,1.916442255
NF,264.4591897,31.74172782,8.39439162,0.050196078,255,-27.52988887,87.95131681,0.671823204,2.450654001
PV+,103.087831,73.02267003,7.527748669,0.359,2000,-28.61555042,60.51706221,0.313953488,1.647024444
PV+,217.1190848,41.82989889,9.082069367,0.126636772,1115.000002,-33.70706675,64.97164777,0.403185841,3.196947502
NF,272.4635006,47.20546929,12.86176741,0.014712645,290.0000028,-33.53702009,83.58464895,0.683921569,2.178469494
PV+,168.3232985,94.7891532,15.95522293,0.22025974,770.0000011,-30.96580258,64.93090984,0.311979167,3.01075945
PV+,76.41429531,82.86445596,6.332029009,,,,,,1.748749704
PV+,106.2379498,71.11557323,7.555172699,0.270463576,755.0000008,-34.46451456,68.37680633,0.344761905,1.069656526
PV+,173.8605955,31.57969355,5.490464326,0.076916534,895.7142852,-41.16329866,73.59412742,0.35495356,3.383752071
SST+,167.7895368,86.76624109,14.55846741,0.091267606,355,-24.35422296,57.5046878,0.639215686,3.554218947
SST+,223.8888528,78.70576112,17.62134257,0.039770905,415.7142856,-32.63213657,66.43983233,0.590236686,3.941083195
SST+,116.0573145,81.92417431,9.507899664,0.096326531,489.9999998,-33.66760977,67.44384113,0.583050847,3.97591639
SST+,198.1808124,55.50361755,10.99975201,0.03898374,468.5714284,-28.50325033,62.46400416,0.760326087,1.916750513
SST+,237.0855305,64.43583128,15.27680324,0.054054054,369.9999992,-33.61934084,57.42689703,0.645378151,2.761994949
SST+,207.6919468,79.16842853,16.44264505,0.086376812,344.9999999,-27.34158789,68.9251618,0.538495575,3.236096315
SST+,245.367932,46.51527159,11.413356,0.031198502,508.5714295,-32.35387871,69.6280616,0.588206388,2.025257457
SST+,339.8593381,53.42744186,18.15781503,0.051914894,469.9999999,-26.86763693,67.08718192,0.829754601,2.569957618
SST+,206.3823434,52.96461889,10.93096216,0.078431373,509.9999999,-27.88472447,65.77295895,0.618944099,2.572724421
SST+,146.0537419,82.96396473,12.11719749,0.078653199,424.2857143,-31.8062115,76.39740973,0.611643836,5.695388293
SST+,244.2729155,61.52799551,15.02962285,0.030148912,415.714286,-32.51192587,59.91260444,0.695614035,5.407468237
SST+,370.131835,47.10136117,17.43371324,0.028338834,432.8571436,-30.35287774,60.96927305,0.751746032,6.424420212
SST+,141.0753684,72.85519976,10.27807414,0.137475728,514.9999997,-28.23008485,67.30850431,0.579565217,9.029812429
SST+,191.0092893,144.8324253,27.66433863,0.064578313,415.0000003,-29.0400525,58.7001278,0.677112676,3.028638435
SST+,193.8411327,84.7289743,16.42396035,0.013333333,569.9999988,-33.06112966,65.63816607,0.558419958,6.031383168
SST+,150.70412,51.77207026,7.802264291,0.067924528,530.0000006,-29.28323382,75.41933229,0.458659218,6.893273556
SST+,167.7639778,73.63230282,12.35284801,0.020952381,524.9999991,-32.21885177,65.36502971,0.703865979,8.528576552
SST+,221.3651968,118.2235933,26.170589,0.048999999,399.9999983,-32.64636242,60.21341024,0.78097561,5.785701251
