 ,1,2,3,4,5,6,7,8,9,10
0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0
450,0,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0
550,0,0,0,0,0,0,0,0,0,0
600,0,0,0,0,0,0,0,0,0,0
650,0,0,0,0,0,0,0,0,0,0
700,0,0,0,0,0,0,0,0,0,0
750,0,0,0,0,0,0,0,0,0,0
800,0,0,0,0,0,0,0,0,0,0
850,0,0,0,0,0,0,0,0,0,0
900,0,0,0,0,0,0,0,0,0,0
950,0,0,0,0,0,0,0,0,0,0
1000,0,0,0,0,0,0,0,0,0,0
1050,0,0,0,0,0,0,0,0,0,0
1100,0,0,0,0,0,0,0,0,0,0
1150,0,0,0,0,0,0,0,0,0,0
1200,50,50,50,50,50,50,50,50,50,50
1250,50,50,50,50,50,50,50,50,50,50
1300,50,50,50,50,50,50,50,50,50,50
1350,0,0,0,0,0,0,0,0,0,0
1400,50,50,50,50,50,50,50,50,50,50
1450,0,0,0,0,0,0,0,0,0,0
1500,0,0,0,0,0,0,0,0,0,0
1550,0,0,0,0,0,0,0,0,0,0
1600,0,0,0,0,0,0,0,0,0,0
1650,0,0,0,0,0,0,0,0,0,0
1700,0,0,0,0,0,0,0,0,0,0
1750,0,0,0,0,0,0,0,0,0,0
1800,0,0,0,0,0,0,0,0,0,0
1850,50,50,50,50,50,50,50,50,50,50
1900,0,0,0,0,0,0,0,0,0,0
1950,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,0,0
2050,0,0,0,0,0,0,0,0,0,0
2100,50,50,50,50,50,50,50,50,50,50
2150,0,0,0,0,0,0,0,0,0,0
2200,0,0,0,0,0,0,0,0,0,0
2250,0,0,0,0,0,0,0,0,0,0
2300,50,50,50,50,50,50,50,50,50,50
2350,0,0,0,0,0,0,0,0,0,0
2400,0,0,0,0,0,0,0,0,0,0
2450,50,50,50,50,50,50,50,50,50,50
2500,0,0,0,0,0,0,0,0,0,0
2550,0,0,0,0,0,0,0,0,0,0
2600,0,0,0,0,0,0,0,0,0,0
2650,50,50,50,50,50,50,50,50,50,50
2700,0,0,0,0,0,0,0,0,0,0
2750,0,0,0,0,0,0,0,0,0,0
2800,0,0,0,0,0,0,0,0,0,0
2850,0,0,0,0,0,0,0,0,0,0
2900,0,0,0,0,0,0,0,0,0,0
2950,0,0,0,0,0,0,0,0,0,0
3000,0,0,0,0,0,0,0,0,0,0
3050,0,0,0,0,0,0,0,0,0,0
3100,0,0,0,0,0,0,0,0,0,0
3150,0,0,0,0,0,0,0,0,0,0
3200,0,0,0,0,0,0,0,0,0,0
3250,0,0,0,0,0,0,0,0,0,0
3300,0,0,0,0,0,0,0,0,0,0
3350,0,0,0,0,0,0,0,0,0,0
3400,0,0,0,0,0,0,0,0,0,0
3450,0,0,0,0,0,0,0,0,0,0
3500,50,50,50,50,50,50,50,50,50,50
3550,0,0,0,0,0,0,0,0,0,0
3600,0,0,0,0,0,0,0,0,0,0
3650,0,0,0,0,0,0,0,0,0,0
3700,0,0,0,0,0,0,0,0,0,0
3750,0,0,0,0,0,0,0,0,0,0
3800,0,0,0,0,0,0,0,0,0,0
3850,0,0,0,0,0,0,0,0,0,0
3900,0,0,0,0,0,0,0,0,0,0
3950,0,0,0,0,0,0,0,0,0,0
4000,50,50,50,50,50,50,50,50,50,50
4050,0,0,0,0,0,0,0,0,0,0
4100,0,0,0,0,0,0,0,0,0,0
4150,0,0,0,0,0,0,0,0,0,0
4200,0,0,0,0,0,0,0,0,0,0
4250,0,0,0,0,0,0,0,0,0,0
4300,0,0,0,0,0,0,0,0,0,0
4350,0,0,0,0,0,0,0,0,0,0
4400,0,0,0,0,0,0,0,0,0,0
4450,0,0,0,0,0,0,0,0,0,0
4500,0,0,0,0,0,0,0,0,0,0
4550,0,0,0,0,0,0,0,0,0,0
4600,0,0,0,0,0,0,0,0,0,0
4650,0,0,0,0,0,0,0,0,0,0
4700,0,0,0,0,0,0,0,0,0,0
4750,0,0,0,0,0,0,0,0,0,0
4800,0,0,0,0,0,0,0,0,0,0
4850,50,50,50,50,50,50,50,50,50,50
4900,50,50,50,50,50,50,50,50,50,50
4950,50,50,50,50,50,50,50,50,50,50
5000,0,0,0,0,0,0,0,0,0,0
5050,0,0,0,0,0,0,0,0,0,0
5100,0,0,0,0,0,0,0,0,0,0
5150,0,0,0,0,0,0,0,0,0,0
5200,0,0,0,0,0,0,0,0,0,0
5250,0,0,0,0,0,0,0,0,0,0
5300,0,0,0,0,0,0,0,0,0,0
5350,0,0,0,0,0,0,0,0,0,0
5400,0,0,0,0,0,0,0,0,0,0
5450,0,0,0,0,0,0,0,0,0,0
5500,0,0,0,0,0,0,0,0,0,0
5550,50,50,50,50,50,50,50,50,50,50
5600,0,0,0,0,0,0,0,0,0,0
5650,0,0,0,0,0,0,0,0,0,0
5700,0,0,0,0,0,0,0,0,0,0
5750,0,0,0,0,0,0,0,0,0,0
5800,0,0,0,0,0,0,0,0,0,0
5850,0,0,0,0,0,0,0,0,0,0
5900,0,0,0,0,0,0,0,0,0,0
5950,0,0,0,0,0,0,0,0,0,0
6000,0,0,50,50,0,0,0,0,0,0
6050,0,0,0,0,0,0,50,0,0,0
6100,0,0,50,0,0,0,0,0,0,0
6150,0,0,0,0,0,0,50,0,0,0
6200,0,0,0,0,0,0,0,0,50,50
6250,0,0,50,0,0,0,0,50,0,0
6300,50,0,0,0,50,0,0,0,0,0
6350,0,0,0,0,0,0,0,0,0,0
6400,0,0,0,0,0,0,0,50,0,0
6450,0,0,0,0,0,0,0,0,0,0
6500,0,0,50,0,0,0,0,50,0,0
6550,0,0,0,0,0,0,0,0,0,0
6600,0,0,0,0,0,0,0,0,0,0
6650,0,0,0,0,50,0,50,0,0,0
6700,0,0,0,0,0,0,0,50,0,0
6750,50,0,50,0,0,0,0,0,0,0
6800,0,0,0,0,0,0,0,50,0,50
6850,0,0,50,0,0,0,0,50,0,0
6900,50,0,0,0,0,0,0,0,0,0
6950,50,0,50,0,50,0,0,50,0,0
7000,0,0,0,0,0,0,0,0,0,0
7050,0,0,0,0,50,0,0,0,0,0
7100,0,0,50,50,0,0,0,0,0,0
7150,0,0,0,0,0,0,50,50,0,0
7200,0,0,0,0,0,50,0,0,0,0
7250,0,0,0,0,0,0,0,50,0,0
7300,0,50,0,0,0,0,0,0,0,0
7350,0,0,0,0,0,50,0,0,0,0
7400,0,0,0,0,0,50,0,50,0,0
7450,0,0,0,0,0,0,50,0,0,50
7500,0,0,0,0,0,0,0,0,50,0
7550,0,0,0,0,50,0,0,0,0,0
7600,0,0,0,0,0,0,0,0,50,0
7650,0,0,0,0,0,50,0,0,0,0
7700,50,0,0,0,0,0,0,50,0,0
7750,0,0,0,0,50,0,0,0,0,0
7800,0,0,0,0,0,0,50,50,0,0
7850,0,0,0,0,0,0,0,0,0,0
